"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Being_Humor: Hope mumbaikars now realise magical powers of Shri Gurmeet Ram Rahim Singh Insan ji.",FALSE,0,NA,2017-08-29 13:55:11,FALSE,NA,"902530069771427840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manbir_singhOO7",19,TRUE,FALSE,NA,NA
"2","RT @IndianExpress: Happy, court proved it today, says son of journalist who was ‘killed’ by Dera followers https://t.co/u9vYh4rwil",FALSE,0,NA,2017-08-29 13:55:08,FALSE,NA,"902530056337080321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinay_nagle",34,TRUE,FALSE,NA,NA
"3","RT @Shehla_Rashid: 'Ram Rahim' to 'Daughter': ""Beti, Bachao!""",FALSE,0,NA,2017-08-29 13:55:07,FALSE,NA,"902530051282935808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sagirind",434,TRUE,FALSE,NA,NA
"4","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:55:00,FALSE,NA,"902530023487291392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","7Rizkhan",17,TRUE,FALSE,NA,NA
"5","RT @AsYouNotWish: Modi can not influence courts but he sure has balls to go against his votebank &amp; that's why he didn't pressurise agencies…",FALSE,0,NA,2017-08-29 13:54:56,FALSE,NA,"902530005078392832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nitinsnhnow",110,TRUE,FALSE,NA,NA
"6","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:54:50,FALSE,NA,"902529981040943104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","kumarisuman2490",17,TRUE,FALSE,NA,NA
"7","RT @kavita_krishnan: Senior advocate in SC, @governorswaraj tweeted defending marital rape + hinting that Ram Rahim was being punished for…",FALSE,0,NA,2017-08-29 13:54:49,FALSE,NA,"902529977639288835",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mahinder_sidhu",63,TRUE,FALSE,NA,NA
"8","RT @iJasOberoi: This man, @governorswaraj is the husband of cabinet minister @SushmaSwaraj. You can see him openly supporting marital rape…",FALSE,0,NA,2017-08-29 13:54:48,FALSE,NA,"902529971360382977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RocksRambo",1,TRUE,FALSE,NA,NA
"9","RT @Being_Humor: Hope mumbaikars now realise magical powers of Shri Gurmeet Ram Rahim Singh Insan ji.",FALSE,0,NA,2017-08-29 13:54:47,FALSE,NA,"902529967501729793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndiaFirst2425",19,TRUE,FALSE,NA,NA
"10","RT @narendramodi: Appreciable effort by Baba Ram Rahim ji &amp; his team. Will motivate people across India to join Swachh Bharat Mission! http…",FALSE,0,NA,2017-08-29 13:54:46,FALSE,NA,"902529963714162688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DikshaGirdher",3261,TRUE,FALSE,NA,NA
"11","RT @NationalistRavi: This is so much talked about 'Guffa' of Gurmit Ram Rahim. Sab darshan kar lo <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/VSX6QlnYNY",FALSE,0,NA,2017-08-29 13:54:41,FALSE,NA,"902529946001694721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KalpanaSubrama5",24,TRUE,FALSE,NA,NA
"12","How BJP got Dera Sacha Sauda chief Sex Baba cum Rape Guru RamRahim Singh's support !!!... https://t.co/EZEFHSCjnT",FALSE,0,NA,2017-08-29 13:54:41,FALSE,NA,"902529943682166785",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","RAHULKANDWAR",0,FALSE,FALSE,NA,NA
"13","RT @arunpathakindia: This is inside the Bedroom of DERA RAM RAHIM. Rest is your imagination. https://t.co/nUEBFyB8Fj",FALSE,0,NA,2017-08-29 13:54:39,FALSE,NA,"902529936803684352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dandiwakh",1,TRUE,FALSE,NA,NA
"14","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:54:36,FALSE,NA,"902529924505886720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","akdwaaz",17,TRUE,FALSE,NA,NA
"15","RT @rahulkanwal: Ram Rahim sitting on the courtroom floor and crying. Refused to leave courtroom. Had to be dragged out. How the mighty hav…",FALSE,0,NA,2017-08-29 13:54:35,FALSE,NA,"902529920101867520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jebarajpaul2",1368,TRUE,FALSE,NA,NA
"16","RT @its_HamzaHaroon: @SidNcy_ It was to be a block buster if Ram Rahim<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>etc were not there<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>",FALSE,0,NA,2017-08-29 13:54:34,FALSE,NA,"902529915035246592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","S1dofficial2",1,TRUE,FALSE,NA,NA
"17","RT @sagarcasm: Until yesterday nobody knew that Ram Rahim's Dera campus has malls, resorts, guns and rifles. It was Hairy Potter &amp; his Cham…",FALSE,0,NA,2017-08-29 13:54:33,FALSE,NA,"902529911285399553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeadpoolSA",123,TRUE,FALSE,NA,NA
"18","RT @SahilBulla: Judge: We are sending you to jail for 10 years.
Gurmeet Ram Rahim: Could I get a shorter sentence?
Judge: U going to jail.…",FALSE,0,NA,2017-08-29 13:54:30,FALSE,NA,"902529899402936320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SansareHarshada",253,TRUE,FALSE,NA,NA
"19","Ram Rahim gets 20 years in jail: Rahul Qs PM’s Silence on China:: https://t.co/CJ2P1q64lR via @YouTube",FALSE,0,NA,2017-08-29 13:54:30,FALSE,NA,"902529896190287872",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","newsanalysisind",0,FALSE,FALSE,NA,NA
"20","RT @pbhushan1: Shocking!Murder case of manager of Fraudman was closed after CBI replaced upright officer. Now pending for yrs in HC
https:/…",FALSE,0,NA,2017-08-29 13:54:23,FALSE,NA,"902529868230836224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bokaariya",383,TRUE,FALSE,NA,NA
"21","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:54:07,FALSE,NA,"902529800257945601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spccmvjc",17,TRUE,FALSE,NA,NA
"22","RT @tiwaridiwakar_: #RamRahimSingh convicted in rape case for sexually exploiting 2female disciples by CBI court. Don't say 'Baba' him. htt…",FALSE,0,NA,2017-08-29 13:54:06,FALSE,NA,"902529798894784513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajusardar89452",96,TRUE,FALSE,NA,NA
"23","RT @SwarajyaMag: Deras flourish by providing solace and dignity to lower castes marginalised by mainstream Sikh &amp; Hindu traditions. 

https…",FALSE,0,NA,2017-08-29 13:54:03,FALSE,NA,"902529784273551360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anand153",62,TRUE,FALSE,NA,NA
"24","@abpnewshindi @abpanandatv @ndtv 
Ok..NOW time 2 get it straight b4 any hitting out #CongressKaBaba https://t.co/Vdw2gm4xAr via @indiatoday",FALSE,0,"abpnewshindi",2017-08-29 13:53:59,FALSE,NA,"902529768058441730","333888813","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sdnan",0,FALSE,FALSE,NA,NA
"25","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:53:58,FALSE,NA,"902529762043629568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sonali221086",17,TRUE,FALSE,NA,NA
"26","RT @ranjanakumari: Amended Sexual assault Law stipulate quantum of punishment to full life than why 10 yrs to This fraud Baba Ram Rahim?",FALSE,0,NA,2017-08-29 13:53:54,FALSE,NA,"902529746675707904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commupolicing",9,TRUE,FALSE,NA,NA
